"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","LCSC Part"
"C1,C2,C3,C4,C6,C9,C14,C15,C16,C17,C18,C19,C21","13","100n","","","","LCSC_Library:C0603","https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_100nF-104-10-50V_C14663.html","C14663"
"C5","1","10u","","","","LCSC_Library:C0603","https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_SAMSUNG_CL10A106KP8NNNC_10uF-106-10-10V_C19702.html","C19702"
"C7,C8","2","1uF","","","","LCSC_Library:C0603","https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_SAMSUNG_CL10A105KB8NNNC_1uF-105-10-50V_C15849.html","C15849"
"C10,C11","2","10p","","","","LCSC_Library:C0603","https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_SAMSUNG_CL10C100JB8NNNC_10pF-100-5-50V_C1634.html","C1634"
"C12,C13","2","22u","","","","LCSC_Library:C0805","https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_Samsung-Electro-Mechanics-CL21A226MAYNNNE_C602037.html","C602037"
"C20","1","1000uF","","","","LCSC_Library:CAP-TH_BD12.5-P5.00-D0.6-FD","https://lcsc.com/product-detail/Aluminum-Electrolytic-Capacitors-Leaded_Rubycon_35YXJ1000M12-5X20_1000uF-35V_C88743.html","C88743"
"CN1,CN2","2","SM04B-SRSS-TB (LF)(SN)","","","","LCSC_Library:CONN-SMD_4P-P1.00_SM04B-SRSS-TB-LF-SN","https://lcsc.com/product-detail/Others_JST-Sales-America__JST-Sales-America-SM04B-SRSS-TB-LF-SN_C160404.html","C160404"
"D1","1","~","","","","sliding_potentiometer_b103:screen","",""
"D2","1","SS14","","","","LCSC_Library:SMA_L4.2-W2.6-LS5.0-RD_1","https://lcsc.com/product-detail/Schottky-Barrier-Diodes-SBD_SS14_C2480.html","C2480"
"Kal1,Kal2,Kal3,Kal4,Kal5,Kal6","6","CPG151101S11-2_C49352235","","","","LCSC_Library:TH_L10.9-W5.9-CPG151101S11-2","","C49352235"
"L1","1","Ferritebead","","","","LCSC_Library:L0603","https://lcsc.com/product-detail/Ferrite-Beads-And-Chips_muRata_BLM18KG121TN1D_120R-25-at100MHz_C85831.html","C85831"
"LED1,LED2,LED3,LED4,LED5,LED6,LED7,LED8,LED9,LED10,LED11,LED12,LED13,LED14,LED15,LED16,LED17,LED18,LED19,LED20,LED21,LED22,LED23,LED24,LED25,LED26,LED27,LED28,LED29,LED30,LED31,LED32,LED33,LED34,LED35,LED36,LED37,LED38,LED39,LED40,LED41,LED42,LED43,LED44,LED45,LED46","46","SK6812MINI","","","","LCSC_Library:LED-SMD_4P-L3.7-W3.5-P1.75-BR-SK6812MINI","","C2886570"
"LED47","1","Red led","","","","LCSC_Library:LED0805-R-RD_RED","","C19171391"
"R1,R2","2","5.1k","","","","LCSC_Library:R0603","","C2907044"
"R3","1","10k","","","","LCSC_Library:R0603","https://lcsc.com/product-detail/Chip-Resistor-Surface-Mount_10KR-1_C98220.html","C98220"
"R4,R5","2","1.5k","","","","LCSC_Library:R0805","https://lcsc.com/product-detail/Others_PANASONIC-ERJ6RBD1501V_C336856.html","C336856"
"S1,S2,S3,S4,S5","5","~","","","","sliding_potentiometer_b103:b103","",""
"SW1","1","MST-12D18G4 SPDT SLIDE SWITCH","","","","LCSC_Library:SW-SMD_MST-12D18G4-SPDT-SLIDE-SWITCH","","C49023767"
"U1","1","STM32F103C8T6","","","","LCSC_Library:LQFP-48_L7.0-W7.0-P0.50-LS9.0-BL","https://lcsc.com/product-detail/ST-Microelectronics_STMicroelectronics_STM32F103C8T6_STM32F103C8T6_C8734.html","C8734"
"U2","1","2.54-1*4","","","","LCSC_Library:HDR-TH_4P-P2.54-V-M-1","","C5116483"
"U3","1","AMS1117-3.3","","","","LCSC_Library:SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR","https://lcsc.com/product-detail/Low-Dropout-Regulators-LDO_AMS_AMS1117-3-3_AMS1117-3-3_C6186.html","C6186"
"U4","1","GD25Q64ESIG","","","","LCSC_Library:SOP-8_L5.3-W5.3-P1.27-LS8.0-BL","","C2685734"
"U5","1","SN74AHCT125DR","","","","LCSC_Library:SOIC-14_L8.7-W3.9-P1.27-LS6.0-BL","https://lcsc.com/product-detail/74-Series_TI_SN74AHCT125DR_SN74AHCT125DR_C155176.html","C155176"
"USB1","1","USB-PG 10PIN 040","","","","LCSC_Library:USB-SMD-LIGHTNING_USB-PG","","C2858295"
"X1","1","X322516MMB4SI","","","","LCSC_Library:CRYSTAL-SMD_4P-L3.2-W2.5-BL","https://lcsc.com/product-detail/SMD-Crystals_16MHz-10PF_C112972.html","C112972"
