Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C14, C15, C16, C17, C18, C19, C2, C21, C3, C4, C6, C9",C0603,13,100n,C14663
"C10, C11",C0603,2,10p,C1634
"C12, C13",C0805,2,22u,C602037
C20,CAP-SMD_BD10.0-L10.3-W10.3-FD,1,BXJ 10V1000uF,C165632
C5,C0603,1,10u,C19702
"C7, C8",C0603,2,1uF,C15849
"CN1, CN2",CONN-SMD_4P-P1.00_SM04B-SRSS-TB-LF-SN,2,SM04B-SRSS-TB (LF)(SN),C160404
D1,screen,1,~,
D2,SMA_L4.2-W2.6-LS5.0-RD_1,1,SS14,C2480
"KAL1, KAL2, KAL3, KAL4, KAL5, KAL6",TH_L10.9-W5.9-CPG151101S11-2,6,CPG151101S11-2_C49352235,C49352235
L1,L0603,1,Ferritebead,C85831
"LED1, LED10, LED11, LED12, LED13, LED14, LED15, LED16, LED17, LED18, LED19, LED2, LED20, LED21, LED22, LED23, LED24, LED25, LED26, LED27, LED28, LED29, LED3, LED30, LED31, LED32, LED33, LED34, LED35, LED36, LED37, LED38, LED39, LED4, LED40, LED41, LED42, LED43, LED44, LED45, LED46, LED5, LED6, LED7, LED8, LED9",LED-SMD_4P-L3.7-W3.5-P1.75-BR-SK6812MINI,46,SK6812MINI,C2886570
LED47,LED0805-R-RD_RED,1,Red led,C19171391
"R1, R2",R0603,2,5.1k,C2907044
R3,R0603,1,10k,C98220
"R4, R5",R0805,2,1.5k,C336856
"S1, S2, S3, S4, S5",b103,5,~,
SW1,SW-SMD_MST-12D18G4-SPDT-SLIDE-SWITCH,1,MST-12D18G4 SPDT SLIDE SWITCH,C49023767
U1,LQFP-48_L7.0-W7.0-P0.50-LS9.0-BL,1,STM32F103C8T6,C8734
U2,HDR-TH_4P-P2.54-V-M-1,1,2.54-1*4,C5116483
U3,SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR,1,AMS1117-3.3,C6186
U4,SOP-8_L5.3-W5.3-P1.27-LS8.0-BL,1,GD25Q64ESIG,C2685734
U5,SOIC-14_L8.7-W3.9-P1.27-LS6.0-BL,1,SN74AHCT125DR,C155176
USB1,USB-SMD-LIGHTNING_USB-PG,1,USB-PG 10PIN 040,C2858295
X1,CRYSTAL-SMD_4P-L3.2-W2.5-BL,1,X322516MMB4SI,C112972
